realtime_start,value,date,realtime_end
2019-12-06,13578,2009-01-01,2019-12-06
2019-12-06,13827,2009-04-01,2019-12-06
2019-12-06,14059,2009-07-01,2019-12-06
2019-12-06,14316,2009-10-01,2019-12-06
2019-12-06,13952,2010-01-01,2019-12-06
2019-12-06,14449,2010-04-01,2019-12-06
2019-12-06,14983,2010-07-01,2019-12-06
2019-12-06,15425,2010-10-01,2019-12-06
2019-12-06,15178,2011-01-01,2019-12-06
2019-12-06,15347,2011-04-01,2019-12-06
2019-12-06,15451,2011-07-01,2019-12-06
2019-12-06,15864,2011-10-01,2019-12-06
2019-12-06,16028,2012-01-01,2019-12-06
2019-12-06,16219,2012-04-01,2019-12-06
2019-12-06,16289,2012-07-01,2019-12-06
2019-12-06,16911,2012-10-01,2019-12-06
2019-12-06,16426,2013-01-01,2019-12-06
2019-12-06,16942,2013-04-01,2019-12-06
2019-12-06,17216,2013-07-01,2019-12-06
2019-12-06,17285,2013-10-01,2019-12-06
2019-12-06,17121,2014-01-01,2019-12-06
2019-12-06,17744,2014-04-01,2019-12-06
2019-12-06,17786,2014-07-01,2019-12-06
2019-12-06,18125,2014-10-01,2019-12-06
2019-12-06,17771,2015-01-01,2019-12-06
2019-12-06,18385,2015-04-01,2019-12-06
2019-12-06,18866,2015-07-01,2019-12-06
2019-12-06,19425,2015-10-01,2019-12-06
2019-12-06,18829,2016-01-01,2019-12-06
2019-12-06,19535,2016-04-01,2019-12-06
2019-12-06,19559,2016-07-01,2019-12-06
2019-12-06,19818,2016-10-01,2019-12-06
2019-12-06,19562,2017-01-01,2019-12-06
2019-12-06,19927,2017-04-01,2019-12-06
2019-12-06,19969,2017-07-01,2019-12-06
2019-12-06,20563,2017-10-01,2019-12-06
2019-12-06,20541,2018-01-01,2019-12-06
2019-12-06,21271,2018-04-01,2019-12-06
2019-12-06,21621,2018-07-01,2019-12-06
2019-12-06,21888,2018-10-01,2019-12-06
2019-12-06,21442,2019-01-01,2019-12-06
2019-12-06,21889,2019-04-01,2019-12-06
